Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Transcription start site (TSS)
ENSDARG00000063690	19	816208	822275	1	816208
ENSDARG00000092398	21	30886127	30888374	-1	30888374
ENSDARG00000095058	18	8889888	8892797	1	8889913
ENSDARG00000095058	18	8889888	8892797	1	8889888
ENSDARG00000095058	18	8889888	8892797	1	8889888
ENSDARG00000008278	7	24979833	24995640	-1	24994568
ENSDARG00000008278	7	24979833	24995640	-1	24995631
ENSDARG00000008278	7	24979833	24995640	-1	24994722
ENSDARG00000008278	7	24979833	24995640	-1	24985394
ENSDARG00000008278	7	24979833	24995640	-1	24995640
ENSDARG00000021195	3	16265924	16285259	1	16265924
ENSDARG00000078500	16	14201401	14215617	1	14209116
ENSDARG00000078500	16	14201401	14215617	1	14201401
ENSDARG00000086620	17	5863150	5878032	-1	5878032
ENSDARG00000063631	13	353175	377256	-1	377256
ENSDARG00000063631	13	353175	377256	-1	361196
ENSDARG00000015876	15	8424711	8517555	-1	8517555
ENSDARG00000015876	15	8424711	8517555	-1	8517376
ENSDARG00000071460	24	38155830	38191962	1	38155830
ENSDARG00000093805	25	15242410	15268443	-1	15268443
ENSDARG00000093805	25	15242410	15268443	-1	15245475
ENSDARG00000097635	15	46356879	46358766	1	46357080
ENSDARG00000097635	15	46356879	46358766	1	46357080
ENSDARG00000097635	15	46356879	46358766	1	46356934
ENSDARG00000097635	15	46356879	46358766	1	46356879
ENSDARG00000060564	17	38030327	38233021	1	38030327
ENSDARG00000016674	3	823084	829433	1	823084
ENSDARG00000105657	7	864492	878473	-1	878473
ENSDARG00000041830	9	22929675	22939510	1	22929675
ENSDARG00000054319	21	20771082	20785888	1	20771082
ENSDARG00000060282	21	44773237	44784723	1	44773237
ENSDARG00000096663	20	13956106	13959214	1	13956106
ENSDARG00000038213	3	20963162	20982706	-1	20982492
ENSDARG00000038213	3	20963162	20982706	-1	20982706
ENSDARG00000079857	17	23937262	23957037	1	23938283
ENSDARG00000079857	17	23937262	23957037	1	23942268
ENSDARG00000079857	17	23937262	23957037	1	23937262
ENSDARG00000101591	19	47574615	47574823	1	47574615
ENSDARG00000069649	15	8394819	8400091	1	8394819
ENSDARG00000078162	16	9495583	9502154	1	9495583
ENSDARG00000078162	16	9495583	9502154	1	9495590
ENSDARG00000003592	5	33281105	33283718	1	33281105
ENSDARG00000003592	5	33281105	33283718	1	33281163
ENSDARG00000003592	5	33281105	33283718	1	33282261
ENSDARG00000097607	6	37334559	37334963	1	37334559
ENSDARG00000098510	4	40880433	40883162	-1	40883162
ENSDARG00000098510	4	40880433	40883162	-1	40882630
ENSDARG00000097266	15	27303279	27307088	-1	27306012
ENSDARG00000097266	15	27303279	27307088	-1	27306635
ENSDARG00000097266	15	27303279	27307088	-1	27306640
ENSDARG00000097266	15	27303279	27307088	-1	27305849
ENSDARG00000097266	15	27303279	27307088	-1	27304395
ENSDARG00000097266	15	27303279	27307088	-1	27306635
ENSDARG00000097266	15	27303279	27307088	-1	27304670
ENSDARG00000097266	15	27303279	27307088	-1	27305916
ENSDARG00000097266	15	27303279	27307088	-1	27307088
ENSDARG00000097266	15	27303279	27307088	-1	27305901
ENSDARG00000097266	15	27303279	27307088	-1	27306100
ENSDARG00000020618	9	32797816	32804953	-1	32804908
ENSDARG00000020618	9	32797816	32804953	-1	32804953
ENSDARG00000077686	10	41060739	41157135	-1	41156348
ENSDARG00000077686	10	41060739	41157135	-1	41157135
ENSDARG00000087032	23	7471072	7504017	1	7471072
ENSDARG00000044298	10	16029260	16035413	1	16029260
ENSDARG00000039123	13	36868365	36911118	-1	36911118
ENSDARG00000105631	7	808916	823495	-1	823495
ENSDARG00000105631	7	808916	823495	-1	823495
ENSDARG00000105631	7	808916	823495	-1	823304
ENSDARG00000092267	2	26286465	26287505	1	26286465
ENSDARG00000069504	18	7073130	7088382	1	7073130
ENSDARG00000069504	18	7073130	7088382	1	7073130
ENSDARG00000092813	2	45643122	45652375	1	45643122
ENSDARG00000070868	23	19977120	19981813	1	19977120
ENSDARG00000070868	23	19977120	19981813	1	19977329
ENSDARG00000093833	2	27386617	27391558	1	27386617
ENSDARG00000071487	21	1629722	1644414	-1	1642590
ENSDARG00000071487	21	1629722	1644414	-1	1635268
ENSDARG00000071487	21	1629722	1644414	-1	1644414
ENSDARG00000071487	21	1629722	1644414	-1	1644414
ENSDARG00000071487	21	1629722	1644414	-1	1640547
ENSDARG00000071487	21	1629722	1644414	-1	1642739
ENSDARG00000021163	19	17514631	17658253	-1	17658253
ENSDARG00000021163	19	17514631	17658253	-1	17526735
ENSDARG00000021163	19	17514631	17658253	-1	17658253
ENSDARG00000021163	19	17514631	17658253	-1	17658253
ENSDARG00000021163	19	17514631	17658253	-1	17658173
ENSDARG00000021163	19	17514631	17658253	-1	17658253
ENSDARG00000021163	19	17514631	17658253	-1	17658173
ENSDARG00000021163	19	17514631	17658253	-1	17658160
ENSDARG00000021163	19	17514631	17658253	-1	17658253
ENSDARG00000021163	19	17514631	17658253	-1	17526735
ENSDARG00000060008	17	45501378	45525936	-1	45525936
ENSDARG00000061120	10	24371921	24391716	-1	24391030
ENSDARG00000061120	10	24371921	24391716	-1	24379776
ENSDARG00000061120	10	24371921	24391716	-1	24391030
ENSDARG00000061120	10	24371921	24391716	-1	24391716
ENSDARG00000061120	10	24371921	24391716	-1	24391716
ENSDARG00000086327	5	15667874	15817204	1	15739252
ENSDARG00000086327	5	15667874	15817204	1	15667874
ENSDARG00000088885	15	46329149	46336399	1	46329149
ENSDARG00000088885	15	46329149	46336399	1	46330016
ENSDARG00000086425	16	9433738	9453591	-1	9442003
ENSDARG00000086425	16	9433738	9453591	-1	9449712
ENSDARG00000086425	16	9433738	9453591	-1	9453591
ENSDARG00000102585	23	45668597	45682136	-1	45682136
ENSDARG00000097406	25	21517551	21523943	1	21517551
ENSDARG00000053194	14	33264303	33268494	1	33264398
ENSDARG00000053194	14	33264303	33268494	1	33264303
ENSDARG00000012341	1	53881844	53907092	-1	53907092
ENSDARG00000117163	4	30409750	30422325	-1	30422325
ENSDARG00000061187	23	36297221	36306356	-1	36306006
ENSDARG00000061187	23	36297221	36306356	-1	36305895
ENSDARG00000061187	23	36297221	36306356	-1	36305874
ENSDARG00000061187	23	36297221	36306356	-1	36306006
ENSDARG00000061187	23	36297221	36306356	-1	36306337
ENSDARG00000061187	23	36297221	36306356	-1	36303216
ENSDARG00000061187	23	36297221	36306356	-1	36306356
ENSDARG00000061187	23	36297221	36306356	-1	36306341
ENSDARG00000074056	20	18209895	18256959	1	18225329
ENSDARG00000074056	20	18209895	18256959	1	18209895
ENSDARG00000074056	20	18209895	18256959	1	18232893
ENSDARG00000096156	4	11099041	11106856	-1	11106856
ENSDARG00000096472	4	40758511	40759309	1	40758511
ENSDARG00000030335	6	52242139	52256744	1	52242139
ENSDARG00000030335	6	52242139	52256744	1	52247993
ENSDARG00000018066	24	25347503	25364775	-1	25363815
ENSDARG00000018066	24	25347503	25364775	-1	25364775
ENSDARG00000045299	21	1618181	1625976	-1	1625976
ENSDARG00000092444	18	22739732	22743366	-1	22743366
ENSDARG00000059855	5	41774366	41792672	1	41774366
ENSDARG00000059855	5	41774366	41792672	1	41774366
ENSDARG00000059855	5	41774366	41792672	1	41780775
ENSDARG00000063347	12	4396308	4435303	-1	4435303
ENSDARG00000063347	12	4396308	4435303	-1	4424424
ENSDARG00000063347	12	4396308	4435303	-1	4408828
ENSDARG00000073707	21	25421368	25522906	-1	25463364
ENSDARG00000073707	21	25421368	25522906	-1	25522510
ENSDARG00000073707	21	25421368	25522906	-1	25484990
ENSDARG00000073707	21	25421368	25522906	-1	25522906
ENSDARG00000076213	25	21517551	21716326	-1	21716326
ENSDARG00000076213	25	21517551	21716326	-1	21609645
ENSDARG00000076213	25	21517551	21716326	-1	21561759
ENSDARG00000076213	25	21517551	21716326	-1	21550222
ENSDARG00000096666	1	56950797	56951369	-1	56951369
ENSDARG00000100594	10	44581378	44672402	1	44584614
ENSDARG00000100594	10	44581378	44672402	1	44581378
ENSDARG00000100594	10	44581378	44672402	1	44641599
ENSDARG00000027602	15	45994123	46132191	1	45994123
ENSDARG00000027602	15	45994123	46132191	1	46108548
ENSDARG00000058231	1	31809173	31856676	-1	31856641
ENSDARG00000058231	1	31809173	31856676	-1	31856676
ENSDARG00000058231	1	31809173	31856676	-1	31856622
ENSDARG00000058231	1	31809173	31856676	-1	31856630
ENSDARG00000008380	7	37742299	37755346	1	37742299
ENSDARG00000103202	4	30402837	30403763	1	30402837
ENSDARG00000021899	14	26379484	26392475	-1	26392475
ENSDARG00000021899	14	26379484	26392475	-1	26392146
ENSDARG00000024116	5	28271412	28279364	1	28271412
ENSDARG00000043673	20	9355912	9421263	1	9355970
ENSDARG00000043673	20	9355912	9421263	1	9355912
ENSDARG00000077717	11	1396170	1400634	-1	1400634
ENSDARG00000077717	11	1396170	1400634	-1	1400630
ENSDARG00000077717	11	1396170	1400634	-1	1400610
ENSDARG00000077717	11	1396170	1400634	-1	1400507
ENSDARG00000011743	10	17747880	17759878	1	17747880
ENSDARG00000097033	16	7226676	7231848	1	7226676
ENSDARG00000030945	15	16122984	16177603	-1	16177603
ENSDARG00000030945	15	16122984	16177603	-1	16155729
ENSDARG00000078271	10	6697369	6702812	1	6697369
ENSDARG00000013174	19	44009473	44036792	1	44009473
ENSDARG00000013174	19	44009473	44036792	1	44009473
ENSDARG00000093469	3	14571813	14606118	1	14581643
ENSDARG00000093469	3	14571813	14606118	1	14571839
ENSDARG00000093469	3	14571813	14606118	1	14571813
ENSDARG00000054162	2	37775655	37803614	-1	37785160
ENSDARG00000054162	2	37775655	37803614	-1	37797577
ENSDARG00000054162	2	37775655	37803614	-1	37803614
ENSDARG00000101700	22	1110855	1120875	1	1110855
ENSDARG00000068100	8	10561922	10659477	1	10561922
ENSDARG00000012892	21	44709280	44731865	-1	44731865
ENSDARG00000020201	2	11946554	12003175	1	11946554
ENSDARG00000020201	2	11946554	12003175	1	11946554
ENSDARG00000012016	1	38398696	38415158	-1	38415158
ENSDARG00000095756	2	49799470	49801011	1	49799470
ENSDARG00000101917	7	67817256	67842997	-1	67842997
ENSDARG00000058593	16	7242610	7260345	1	7242610
ENSDARG00000087979	2	11976261	11981305	-1	11981305
ENSDARG00000092020	16	22061003	22064520	-1	22064520
ENSDARG00000100083	1	27977297	28020042	1	27977331
ENSDARG00000100083	1	27977297	28020042	1	27977297
ENSDARG00000100083	1	27977297	28020042	1	27977370
ENSDARG00000100083	1	27977297	28020042	1	27977389
ENSDARG00000100083	1	27977297	28020042	1	27984393
ENSDARG00000039365	13	29925397	29936259	1	29926094
ENSDARG00000039365	13	29925397	29936259	1	29925397
ENSDARG00000039365	13	29925397	29936259	1	29926631
ENSDARG00000039365	13	29925397	29936259	1	29926326
ENSDARG00000027088	24	17027310	17029374	-1	17029374
ENSDARG00000063150	7	528593	625258	1	529522
ENSDARG00000063150	7	528593	625258	1	568819
ENSDARG00000063150	7	528593	625258	1	528593
ENSDARG00000036510	22	12161738	12177012	1	12161738
ENSDARG00000036510	22	12161738	12177012	1	12162518
ENSDARG00000036510	22	12161738	12177012	1	12162470
ENSDARG00000090836	20	23657860	23667713	1	23658791
ENSDARG00000090836	20	23657860	23667713	1	23657860
ENSDARG00000102845	23	45611649	45622324	1	45611980
ENSDARG00000102845	23	45611649	45622324	1	45611649
ENSDARG00000063341	2	6042039	6051836	-1	6051836
ENSDARG00000063341	2	6042039	6051836	-1	6051747
ENSDARG00000063341	2	6042039	6051836	-1	6045395
ENSDARG00000093686	22	5923190	5933924	-1	5933924
ENSDARG00000093686	22	5923190	5933924	-1	5933844
ENSDARG00000101567	22	1092479	1109547	1	1092479
ENSDARG00000101567	22	1092479	1109547	1	1102165
ENSDARG00000078991	13	11674764	11679486	-1	11679486
ENSDARG00000097746	16	45087810	45094599	-1	45094599
ENSDARG00000042370	17	27971144	27976031	-1	27972307
ENSDARG00000042370	17	27971144	27976031	-1	27976031
ENSDARG00000096908	6	34028532	34036231	1	34028532
ENSDARG00000093957	5	67463027	67471375	-1	67471375
ENSDARG00000093926	16	22022533	22097384	1	22022543
ENSDARG00000093926	16	22022533	22097384	1	22022533
ENSDARG00000089622	6	40482330	40499799	1	40482330
ENSDARG00000104512	3	20913310	20915154	1	20913310
ENSDARG00000097503	17	20605013	20611312	1	20605013
ENSDARG00000097503	17	20605013	20611312	1	20607487
ENSDARG00000099741	1	59237328	59243542	-1	59240975
ENSDARG00000099741	1	59237328	59243542	-1	59243542
ENSDARG00000043960	20	150890	154989	-1	154989
ENSDARG00000070320	1	19535144	19537359	1	19535144
ENSDARG00000036316	14	33331773	33348221	-1	33333951
ENSDARG00000036316	14	33331773	33348221	-1	33334025
ENSDARG00000036316	14	33331773	33348221	-1	33334065
ENSDARG00000036316	14	33331773	33348221	-1	33348221
ENSDARG00000086162	16	49729339	49846359	-1	49746832
ENSDARG00000086162	16	49729339	49846359	-1	49781481
ENSDARG00000086162	16	49729339	49846359	-1	49846359
ENSDARG00000056127	14	26715626	26719053	1	26715651
ENSDARG00000056127	14	26715626	26719053	1	26715626
ENSDARG00000014722	5	68788658	68795063	-1	68795063
ENSDARG00000061835	10	29112756	29120535	-1	29120515
ENSDARG00000061835	10	29112756	29120535	-1	29120535
ENSDARG00000093350	5	38720140	38721343	1	38720140
ENSDARG00000014770	6	42345005	42369186	-1	42369186
ENSDARG00000057299	10	20103067	20106012	-1	20105553
ENSDARG00000057299	10	20103067	20106012	-1	20106012
ENSDARG00000057299	10	20103067	20106012	-1	20106012
ENSDARG00000012295	9	38399912	38407176	1	38399912
ENSDARG00000012295	9	38399912	38407176	1	38399915
ENSDARG00000031763	18	19648275	19699061	1	19648275
ENSDARG00000001771	2	6303639	6316167	1	6303639
ENSDARG00000091514	7	52150698	52153105	-1	52153105
ENSDARG00000068030	7	2084587	2116512	-1	2090594
ENSDARG00000068030	7	2084587	2116512	-1	2116512
ENSDARG00000068030	7	2084587	2116512	-1	2116512
ENSDARG00000044813	7	50376097	50395395	-1	50395059
ENSDARG00000044813	7	50376097	50395395	-1	50395395
ENSDARG00000001829	24	24101811	24118451	-1	24111674
ENSDARG00000001829	24	24101811	24118451	-1	24114884
ENSDARG00000001829	24	24101811	24118451	-1	24118395
ENSDARG00000001829	24	24101811	24118451	-1	24118451
ENSDARG00000001829	24	24101811	24118451	-1	24114217
ENSDARG00000095831	16	4010967	4031386	-1	4031386
ENSDARG00000095831	16	4010967	4031386	-1	4026265
ENSDARG00000012505	16	12812214	12821768	1	12812472
ENSDARG00000012505	16	12812214	12821768	1	12812214
ENSDARG00000008224	7	41757462	41812355	-1	41765104
ENSDARG00000008224	7	41757462	41812355	-1	41812015
ENSDARG00000008224	7	41757462	41812355	-1	41812355
ENSDARG00000008224	7	41757462	41812355	-1	41812355
ENSDARG00000008224	7	41757462	41812355	-1	41777228
ENSDARG00000037403	15	19661498	19677511	-1	19674823
ENSDARG00000037403	15	19661498	19677511	-1	19677511
ENSDARG00000037403	15	19661498	19677511	-1	19669770
ENSDARG00000043182	10	35417099	35437624	1	35422802
ENSDARG00000043182	10	35417099	35437624	1	35417099
ENSDARG00000091101	17	53425037	53426917	1	53425037
ENSDARG00000091101	17	53425037	53426917	1	53425730
ENSDARG00000000690	8	25079470	25090458	1	25079470
ENSDARG00000061044	8	25973151	25980694	-1	25980694
ENSDARG00000045661	25	25546789	25550955	-1	25549138
ENSDARG00000045661	25	25546789	25550955	-1	25550955
ENSDARG00000045661	25	25546789	25550955	-1	25550938
ENSDARG00000052411	5	57693472	57715272	-1	57715272
ENSDARG00000052411	5	57693472	57715272	-1	57715230
ENSDARG00000012244	9	43797902	43883267	1	43800876
ENSDARG00000012244	9	43797902	43883267	1	43798143
ENSDARG00000012244	9	43797902	43883267	1	43797902
ENSDARG00000012244	9	43797902	43883267	1	43799829
ENSDARG00000103849	17	24439532	24444402	1	24439532
ENSDARG00000019815	9	15362300	15424639	-1	15362556
ENSDARG00000019815	9	15362300	15424639	-1	15424639
ENSDARG00000019815	9	15362300	15424639	-1	15424639
ENSDARG00000078205	24	27459604	27461295	-1	27461295
ENSDARG00000094110	22	38239302	38240163	-1	38240040
ENSDARG00000094110	22	38239302	38240163	-1	38240163
ENSDARG00000056324	3	21189766	21198744	1	21189766
ENSDARG00000056324	3	21189766	21198744	1	21189804
ENSDARG00000016173	16	30408697	30421275	-1	30420703
ENSDARG00000016173	16	30408697	30421275	-1	30421275
ENSDARG00000016173	16	30408697	30421275	-1	30421222
ENSDARG00000016173	16	30408697	30421275	-1	30421018
ENSDARG00000013371	16	12793911	12809886	-1	12809886
ENSDARG00000013371	16	12793911	12809886	-1	12809880
ENSDARG00000013371	16	12793911	12809886	-1	12809873
ENSDARG00000053804	23	30937757	30960506	-1	30960506
ENSDARG00000053804	23	30937757	30960506	-1	30954738
ENSDARG00000097367	8	1221881	1227060	1	1221881
ENSDARG00000026531	10	28731749	28835812	-1	28835771
ENSDARG00000026531	10	28731749	28835812	-1	28835812
ENSDARG00000026531	10	28731749	28835812	-1	28761454
ENSDARG00000106998	4	76902513	76914227	1	76902513
ENSDARG00000106998	4	76902513	76914227	1	76906112
ENSDARG00000060893	19	35496282	35596207	-1	35596207
ENSDARG00000037930	3	31919042	31924643	-1	31924643
ENSDARG00000037930	3	31919042	31924643	-1	31924586
ENSDARG00000073709	14	29941266	29976066	1	29941266
ENSDARG00000073709	14	29941266	29976066	1	29945070
ENSDARG00000073709	14	29941266	29976066	1	29941345
ENSDARG00000073709	14	29941266	29976066	1	29941330
ENSDARG00000073709	14	29941266	29976066	1	29941445
ENSDARG00000099817	6	54117004	54126463	-1	54121035
ENSDARG00000099817	6	54117004	54126463	-1	54126463
ENSDARG00000079486	12	2906610	2940070	-1	2940070
ENSDARG00000071673	24	20450027	20531813	-1	20531474
ENSDARG00000071673	24	20450027	20531813	-1	20531813
ENSDARG00000071673	24	20450027	20531813	-1	20531586
ENSDARG00000071673	24	20450027	20531813	-1	20470991
ENSDARG00000071673	24	20450027	20531813	-1	20469290
ENSDARG00000071673	24	20450027	20531813	-1	20501301
ENSDARG00000035551	5	23196067	23200880	-1	23200880
ENSDARG00000087516	2	352097	352779	-1	352779
ENSDARG00000071024	22	30502555	30545975	1	30502555
ENSDARG00000071024	22	30502555	30545975	1	30502618
ENSDARG00000007976	18	29968205	30021479	-1	30021479
ENSDARG00000007976	18	29968205	30021479	-1	29977431
ENSDARG00000007976	18	29968205	30021479	-1	30020879
ENSDARG00000007976	18	29968205	30021479	-1	29972709
ENSDARG00000097731	17	44249608	44252967	1	44249608
ENSDARG00000036043	7	38744924	38750197	1	38744924
ENSDARG00000094213	9	34848860	34851804	-1	34851804
ENSDARG00000105116	6	18203464	18228358	-1	18228358
ENSDARG00000023952	20	18740518	18760027	1	18740799
ENSDARG00000023952	20	18740518	18760027	1	18741089
ENSDARG00000023952	20	18740518	18760027	1	18740518
ENSDARG00000096837	15	19581907	19583015	-1	19583015
ENSDARG00000035858	2	24548249	24554432	-1	24554298
ENSDARG00000035858	2	24548249	24554432	-1	24554432
ENSDARG00000035858	2	24548249	24554432	-1	24554416
ENSDARG00000045846	4	5327632	5333971	-1	5333971
ENSDARG00000045846	4	5327632	5333971	-1	5332814
ENSDARG00000034930	20	23960525	23964383	1	23960525
ENSDARG00000102590	3	5019502	5030089	-1	5022432
ENSDARG00000102590	3	5019502	5030089	-1	5030089
ENSDARG00000068965	15	29662401	29713359	1	29709382
ENSDARG00000068965	15	29662401	29713359	1	29662401
ENSDARG00000044669	11	37612214	37631714	1	37612672
ENSDARG00000044669	11	37612214	37631714	1	37612214
ENSDARG00000044669	11	37612214	37631714	1	37612237
ENSDARG00000006832	5	16797209	16996482	-1	16983336
ENSDARG00000006832	5	16797209	16996482	-1	16996482
ENSDARG00000006832	5	16797209	16996482	-1	16890246
ENSDARG00000012649	5	6875272	6922168	1	6875272
ENSDARG00000012649	5	6875272	6922168	1	6892195
ENSDARG00000087330	3	21096027	21118969	-1	21106093
ENSDARG00000087330	3	21096027	21118969	-1	21118969
ENSDARG00000052319	2	17524278	17575605	1	17524278
ENSDARG00000052319	2	17524278	17575605	1	17525355
ENSDARG00000067639	5	57442271	57453791	1	57442271
ENSDARG00000025567	21	25801345	25819707	1	25801345
ENSDARG00000025567	21	25801345	25819707	1	25801345
ENSDARG00000025567	21	25801345	25819707	1	25802190
ENSDARG00000009215	21	25773530	25774605	-1	25774605
ENSDARG00000001015	19	6960388	6988866	-1	6982291
ENSDARG00000001015	19	6960388	6988866	-1	6988837
ENSDARG00000001015	19	6960388	6988866	-1	6988866
ENSDARG00000001015	19	6960388	6988866	-1	6983002
ENSDARG00000001015	19	6960388	6988866	-1	6982272
ENSDARG00000056888	24	33589667	33697002	1	33622769
ENSDARG00000056888	24	33589667	33697002	1	33608083
ENSDARG00000056888	24	33589667	33697002	1	33589667
ENSDARG00000056888	24	33589667	33697002	1	33599770
ENSDARG00000035676	19	35455172	35492784	-1	35492784
ENSDARG00000035676	19	35455172	35492784	-1	35465580
ENSDARG00000035676	19	35455172	35492784	-1	35492693
ENSDARG00000035676	19	35455172	35492784	-1	35492736
ENSDARG00000058551	16	7653905	7658707	1	7653905
ENSDARG00000058558	8	1082100	1110352	1	1082100
ENSDARG00000078636	18	42773594	42778763	1	42773594
ENSDARG00000100855	4	52511697	52513709	1	52511697
ENSDARG00000078092	3	31850851	31875138	-1	31875138
ENSDARG00000055370	2	27877908	27900535	-1	27900535
ENSDARG00000055370	2	27877908	27900535	-1	27900499
ENSDARG00000055370	2	27877908	27900535	-1	27900518
ENSDARG00000088168	14	34634145	34771864	-1	34657105
ENSDARG00000088168	14	34634145	34771864	-1	34771371
ENSDARG00000088168	14	34634145	34771864	-1	34771864
ENSDARG00000088168	14	34634145	34771864	-1	34771371
ENSDARG00000088168	14	34634145	34771864	-1	34771492
ENSDARG00000088168	14	34634145	34771864	-1	34700633
ENSDARG00000088168	14	34634145	34771864	-1	34637511
ENSDARG00000063481	4	5304208	5317006	-1	5317006
ENSDARG00000099218	12	4845448	4854555	1	4845448
ENSDARG00000075504	11	1584747	1607337	1	1602916
ENSDARG00000075504	11	1584747	1607337	1	1584747
ENSDARG00000090654	5	9441198	9540770	-1	9540641
ENSDARG00000090654	5	9441198	9540770	-1	9540770
ENSDARG00000043406	17	22311413	22501970	1	22381215
ENSDARG00000043406	17	22311413	22501970	1	22311413
ENSDARG00000043406	17	22311413	22501970	1	22381248
ENSDARG00000035606	5	19477555	19488134	1	19479200
ENSDARG00000035606	5	19477555	19488134	1	19477555
ENSDARG00000075454	18	73434	81280	-1	81280
ENSDARG00000075454	18	73434	81280	-1	81280
ENSDARG00000075454	18	73434	81280	-1	79659
ENSDARG00000067872	2	56487668	56493661	1	56487668
ENSDARG00000075525	17	25187222	25192247	1	25187670
ENSDARG00000075525	17	25187222	25192247	1	25187226
ENSDARG00000075525	17	25187222	25192247	1	25187222
ENSDARG00000003487	18	17537311	17580522	1	17538165
ENSDARG00000003487	18	17537311	17580522	1	17537311
ENSDARG00000003487	18	17537311	17580522	1	17537975
ENSDARG00000003487	18	17537311	17580522	1	17537344
ENSDARG00000054789	16	29690708	29696789	1	29690708
ENSDARG00000097918	24	3509377	3534690	-1	3534690
ENSDARG00000102696	11	41110397	41132296	-1	41132296
ENSDARG00000102696	11	41110397	41132296	-1	41130239
ENSDARG00000078891	7	26366451	26389908	-1	26389908
ENSDARG00000067520	18	54354	60885	1	54354
ENSDARG00000097608	6	26305223	26309175	1	26305223
ENSDARG00000055754	23	28693278	28713982	1	28693278
ENSDARG00000075837	21	18405585	18445953	1	18405585
ENSDARG00000097786	15	9205264	9211131	1	9205264
ENSDARG00000030411	24	41305391	41312459	-1	41312459
ENSDARG00000099145	4	42338178	42344136	1	42338178
ENSDARG00000099145	4	42338178	42344136	1	42338178
ENSDARG00000095852	16	7552084	7621114	-1	7621114
ENSDARG00000105791	6	52931841	52933122	1	52931841
ENSDARG00000062447	9	24159280	24192145	1	24159280
ENSDARG00000062447	9	24159280	24192145	1	24159725
ENSDARG00000062447	9	24159280	24192145	1	24159280
ENSDARG00000018165	8	16710634	16725959	-1	16725959
ENSDARG00000018165	8	16710634	16725959	-1	16725573
ENSDARG00000078476	22	9893111	9896180	-1	9896180
ENSDARG00000101593	21	2170798	2173300	-1	2173300
ENSDARG00000101593	21	2170798	2173300	-1	2172924
ENSDARG00000099989	11	37275448	37298938	1	37275448
ENSDARG00000099989	11	37275448	37298938	1	37278457
ENSDARG00000019660	15	31735931	31772657	1	31735931
ENSDARG00000019660	15	31735931	31772657	1	31741358
ENSDARG00000019660	15	31735931	31772657	1	31741369
ENSDARG00000019660	15	31735931	31772657	1	31735931
ENSDARG00000019660	15	31735931	31772657	1	31735931
ENSDARG00000097495	14	43614697	43615814	-1	43615814
ENSDARG00000075731	4	32384950	32393785	1	32385395
ENSDARG00000075731	4	32384950	32393785	1	32384950
ENSDARG00000063187	13	6259392	6279684	-1	6279684
ENSDARG00000045560	4	17726841	17793152	-1	17785120
ENSDARG00000045560	4	17726841	17793152	-1	17741513
ENSDARG00000045560	4	17726841	17793152	-1	17740785
ENSDARG00000045560	4	17726841	17793152	-1	17793152
ENSDARG00000077749	12	26221999	26383242	-1	26383242
ENSDARG00000077749	12	26221999	26383242	-1	26241810
ENSDARG00000067730	18	41768357	41808741	1	41772474
ENSDARG00000067730	18	41768357	41808741	1	41768357
ENSDARG00000078333	13	33314673	33317398	-1	33317323
ENSDARG00000078333	13	33314673	33317398	-1	33317326
ENSDARG00000078333	13	33314673	33317398	-1	33317398
ENSDARG00000095309	1	7936270	7939514	-1	7939514
ENSDARG00000016774	7	13527396	13572981	1	13527396
ENSDARG00000016774	7	13527396	13572981	1	13527971
ENSDARG00000095974	3	1132908	1146497	-1	1146497
ENSDARG00000041223	3	15132629	15144182	-1	15144076
ENSDARG00000041223	3	15132629	15144182	-1	15144182
ENSDARG00000041223	3	15132629	15144182	-1	15139293
ENSDARG00000041223	3	15132629	15144182	-1	15144067
ENSDARG00000041223	3	15132629	15144182	-1	15139432
ENSDARG00000006683	14	31799787	31856819	-1	31856819
ENSDARG00000006683	14	31799787	31856819	-1	31854830
ENSDARG00000006683	14	31799787	31856819	-1	31814149
ENSDARG00000076103	3	18675716	18711288	-1	18710009
ENSDARG00000076103	3	18675716	18711288	-1	18711288
ENSDARG00000068434	15	47860045	47865063	-1	47865063
ENSDARG00000061672	24	36721341	36727922	-1	36723116
ENSDARG00000061672	24	36721341	36727922	-1	36727922
ENSDARG00000093473	21	22367312	22375006	-1	22375006
ENSDARG00000013472	25	19541019	19556986	1	19552326
ENSDARG00000013472	25	19541019	19556986	1	19541021
ENSDARG00000013472	25	19541019	19556986	1	19541019
ENSDARG00000016460	17	15631619	15657029	-1	15640467
ENSDARG00000016460	17	15631619	15657029	-1	15657029
ENSDARG00000040116	8	955162	979735	-1	979735
ENSDARG00000040116	8	955162	979735	-1	973709
ENSDARG00000097402	3	25132020	25135109	-1	25135109
ENSDARG00000097749	17	41762283	41763331	1	41762283
ENSDARG00000088497	16	26378297	26379442	-1	26379442
ENSDARG00000103743	3	36515376	36586979	1	36541003
ENSDARG00000103743	3	36515376	36586979	1	36515376
ENSDARG00000012340	23	23918421	23995856	1	23918421
ENSDARG00000095743	20	30032628	30035326	-1	30035326
ENSDARG00000105724	4	76387059	76387963	-1	76387963
ENSDARG00000093452	9	21203832	21205544	-1	21205429
ENSDARG00000093452	9	21203832	21205544	-1	21205544
ENSDARG00000093452	9	21203832	21205544	-1	21205521
ENSDARG00000093452	9	21203832	21205544	-1	21205481
ENSDARG00000098013	5	46327205	46329880	-1	46329880
